"7177","CWO - Special Warfare Combatant-Craft","Warrant Officer"
"7178","CWO - Special Warfare Combatant-Craft","Warrant Officer"
"7181","CWO - Electronics Technician","Warrant Officer"
"7182","CWO - Electronics Technician","Warrant Officer"
"7183","CWO - Electronics Technician","Warrant Officer"
"7185","CWO - Electronics Technician","Warrant Officer"
"7187","CWO - Electronics Technician","Warrant Officer"
"7188","CWO - Electronics Technician","Warrant Officer"
"7191","CWO - Communications Technician","Warrant Officer"
"7192","CWO - Communications Technician","Warrant Officer"
"7193","CWO - Communications Technician","Warrant Officer"
"7195","CWO - Communications Technician","Warrant Officer"
"7197","CWO - Communications Technician","Warrant Officer"
"7198","CWO - Communications Technician","Warrant Officer"
"7211","CWO - Boatswain","Warrant Officer"
"7212","CWO - Boatswain","Warrant Officer"
"7213","CWO - Boatswain","Warrant Officer"
"7215","CWO - Boatswain","Warrant Officer"
"7217","CWO - Boatswain","Warrant Officer"
"7218","CWO - Boatswain","Warrant Officer"
"7231","CWO - Engineering Technician","Warrant Officer"
"7232","CWO - Engineering Technician","Warrant Officer"
"7233","CWO - Engineering Technician","Warrant Officer"
"7235","CWO - Engineering Technician","Warrant Officer"
"7237","CWO - Engineering Technician","Warrant Officer"
"7238","CWO - Engineering Technician","Warrant Officer"
"7241","CWO - Repair Technician","Warrant Officer"
"7242","CWO - Repair Technician","Warrant Officer"
"7243","CWO - Repair Technician","Warrant Officer"
"7245","CWO - Repair Technician","Warrant Officer"
"7247","CWO - Repair Technician","Warrant Officer"
"7248","CWO - Repair Technician","Warrant Officer"
"7251","CWO - Nuclear Power Technician - Submarine","Warrant Officer"
"7252","CWO - Nuclear Power Technician - Submarine","Warrant Officer"
"7253","CWO - Nuclear Power Technician - Submarine","Warrant Officer"
"7255","CWO - Nuclear Power Technician - Submarine","Warrant Officer"
"7257","CWO - Nuclear Power Technician - Submarine","Warrant Officer"
"7258","CWO - Nuclear Power Technician - Submarine","Warrant Officer"
"7281","CWO - Electronics","Warrant Officer"
"7282","CWO - Electronics","Warrant Officer"
"7283","CWO - Electronics","Warrant Officer"
"7285","CWO - Electronics","Warrant Officer"
"7287","CWO - Electronics","Warrant Officer"
